id,izhodisce,cas,zahtevnost,pot,visina_izhodisca,visinska_razlika
11,Aljažev dom v Vratih,360,zelo zahtevna označena pot,Tominškova pot,1015,1849
11,Konec ceste na Pokljuki,360,zelo zahtevna označena pot,čez Planiko in Mali Triglav,1340,1524
11,Dolina Krma,370,zelo zahtevna označena pot,čez Kredarico,930,1934
11,Aljažev dom v Vratih,390,zelo zahtevna označena pot,čez Plemenice,1015,1849
11,Aljažev dom v Vratih,370,zelo zahtevna označena pot,čez Prag,1015,1849
11,Dolina Krma,360,zelo zahtevna označena pot,čez Planiko in Mali Triglav,930,1934
11,Koča pri Savici,525,zelo zahtevna označena pot,čez Triglavska jezera,653,2211
11,Zadnjica,435,zelo zahtevna označena pot,čez Dolič,650,2214
11,Rudno polje,390,zelo zahtevna označena pot,čez Kredarico,1347,1517
11,Konec  ceste na Pokljuki,345,zelo zahtevna označena pot,čez Planiko in Triglavsko škrbino,1340,1524
11,Konec ceste na Pokljuki,370,zelo zahtevna označena pot,čez Kredarico,1340,1524
11,Dolina Kot,370,zelo zahtevna označena pot,,950,1914
11,Turkov rovt (Vrata),380,"lahko brezpotje, zelo zahtevna označena pot",po dolini Za Cmirom,941,1923
11,Dolina Krma,345,zelo zahtevna označena pot,čez Planiko in Triglavsko škrbino,930,1934
11,Zadnjica,435,zelo zahtevna označena pot,čez Plemenice,650,2214
11,Rudno polje,450,"zahtevno brezpotje, zelo zahtevna označena pot",čez Kugyjevo polico,1347,1517
11,Planina Blato,405,"lahka neoznačena steza, zelo zahtevna označena pot","čez Grintovico, Planiko in Mali Triglav",1147,1717
11,Uskovnica (Razpotje),375,zelo zahtevna označena pot,čez Planiko in Mali Triglav,1215,1649
11,Stara Fužina,465,zelo zahtevna označena pot,čez Planiko in Mali Triglav,600,2264
11,Zadnjica,435,zelo zahtevna označena pot,čez Komar,650,2214
11,Planina Blato,465,zelo zahtevna označena pot,Za Kopico,1147,1717
11,Stara Fužina,450,zelo zahtevna označena pot,čez Planiko in Triglavsko škrbino,600,2264
11,Uskovnica (Razpotje),360,zelo zahtevna označena pot,čez Triglavsko škrbino,1215,1649
11,Zadnjica,450,"zelo zahtevna označena pot, zahtevna neoznačena steza",Kugyjeva pot na Triglav,650,2214
11,Uskovnica (Lom),380,zelo zahtevna označena pot,čez Triglavsko škrbino,1076,1788
11,Srednja vas,465,zelo zahtevna označena pot,Za Ribnico in čez Triglavsko škrbino,583,2281
11,Rudno polje,380,zelo zahtevna označena pot,mimo Doma Planika in čez Mali Triglav,1347,1517
1629,Pecol,210,zelo zahtevna označena pot,"mimo koče, čez Pipanovo lestev",1510,1243
1629,Pecol,225,zelo zahtevna označena pot,čez Findeneggov ozebnik,1510,1243
1629,Planina Zajzera,405,zelo zahtevna označena pot,Via Amalia,1004,1749
12,Aljažev dom v Vratih,360,zelo zahtevna označena pot,,1015,1725
12,Ruski križ,450,zelo zahtevna označena pot,čez Kriško steno,1000,1740
12,Zadnjica,525,zelo zahtevna označena pot,,650,2090
12,Gozd Martuljek,870,alpinistični vzpon,grebensko prečenje Mali Oltar-Škrlatica,750,1990
12,Pišnica,485,zelo zahtevna označena pot,čez Kriško steno,850,1890
13,Aljažev dom v Vratih,325,zelo zahtevna označena pot,Tominškova pot,1015,1710
13,Aljažev dom v Vratih,335,zelo zahtevna označena pot,čez Prag,1015,1710
13,Dolina Kot,335,zelo zahtevna označena pot,,950,1775
14,Mangartsko sedlo,120,zelo zahtevna označena pot,Slovenska pot,2055,624
14,Mangartsko sedlo,120,zahtevna označena pot,Italijanska pot,2055,624
14,Belopeška jezera,330,izjemno zahtevna označena pot,Via Italiana,929,1750
14,Loška Koritnica,420,zelo zahtevna označena pot,,780,1899
14,Pri Mlinču,285,"lahka neoznačena steza, zelo zahtevna označena pot",čez Gladki rob in po slovenski poti,1094,1585
14,Pri Mlinču,285,zelo zahtevna označena pot,slovenska pot,1094,1585
14,Pri Mlinču,285,zahtevna označena pot,italijanska pot,1094,1585
14,Pri Mlinču,285,"lahka neoznačena steza, zahtevna označena pot",čez Gladki rob in po italijanski poti,1094,1585
11041,Nevejski preval,300,zahtevna označena pot,,1170,1496
11041,Cave del Mole,270,zahtevna označena pot,,1035,1631
11041,Zajzera,360,izjemno zahtevna označena pot,Severovzhodna deber,897,1769
11041,Bele vode,360,zelo zahtevna označena pot,Pot stoletnice,980,1686
11041,Cave del Mole,330,zelo zahtevna označena pot,Anita Goitan,1035,1631
11344,Pecol,190,zelo zahtevna neoznačena steza,,1510,1151
15,Poldov rovt (Vrata),390,zelo zahtevno brezpotje,,941,1705
15,Poldov rovt (Vrata),540,zelo zahtevno brezpotje,preko Velikega Oltarja (po grebenu),941,1705
16,Dom v Tamarju,315,zelo zahtevna označena pot,čez Kotovo sedlo,1108,1537
16,Vršič,390,zelo zahtevna označena pot,mimo zavetišča pod Špičkom,1611,1034
16,Vršič,360,zelo zahtevna označena pot,čez Jalovško škrbino,1611,1034
16,Zadnja Trenta (Flori),360,zelo zahtevna označena pot,mimo zavetišča pod Špičkom,900,1745
16,Dom v Tamarju,345,zelo zahtevna označena pot,čez Jalovško škrbino,1108,1537
16,Zadnja Trenta (Flori),360,zelo zahtevna označena pot,čez Jalovško škrbino,900,1745
16,Dom v Tamarju,330,zelo zahtevno brezpotje,zimski plezalni vzpon skozi zimski kamin,1108,1537
16,Loška Koritnica,450,zelo zahtevna označena pot,mimo zavetišča pod Špičkom,780,1865
16,Dom v Tamarju,315,zelo zahtevna označena pot,po melišču in čez Kotovo sedlo,1108,1537
16,Bavšica,495,zelo zahtevna označena pot,,698,1947
17,Poldov rovt (Vrata),360,zelo zahtevno brezpotje,mimo bivaka,941,1680
17,Ruski križ,360,alpinistični vzpon,po SZ grebenu,1000,1621
18,Ruski križ,420,zelo zahtevno brezpotje,,1000,1602
19,Zadnjica,360,zelo zahtevna označena pot,,650,1951
19,Vršič,360,zelo zahtevna označena pot,,1611,990
19,Aljažev dom v Vratih,390,zelo zahtevna označena pot,čez Sovatno,1015,1586
19,Ruski križ,430,zelo zahtevna označena pot,čez Kriško steno,1000,1601
110,Aljažev dom v Vratih,315,zahtevna označena pot,zahodna pot,1015,1576
110,Aljažev dom v Vratih,360,zelo zahtevna označena pot,vzhodna pot,1015,1576
110,Aljažev dom v Vratih,300,zelo zahtevno brezpotje,po JV grebenu,1015,1576
110,Ruski križ,345,zelo zahtevna označena pot,čez Kriško steno,1000,1591
110,Pišnica,380,zelo zahtevna označena pot,čez Kriško steno,850,1741
112,D Postaja,150,zelo zahtevna označena pot,,2202,385
112,Nevejski preval,285,zelo zahtevna označena pot,Via ferrata Divisione Julia,1170,1417
112,Gozdec,360,zelo zahtevna označena pot,čez Zadnji dol,1075,1512
112,Nevejski preval,375,zelo zahtevna označena pot,Via ferrata Rosalba Grasselli,1170,1417
112,Gozdec,410,zelo zahtevna označena pot,mimo Doma Petra Skalarja na Kaninu,1075,1512
113,D Postaja,165,zelo zahtevna označena pot,,2202,369
11544,Zadnjica,375,"lahka označena pot, lahka neoznačena steza",Zahodni vrh) (čez Prehodavce,650,1919
11544,Zadnjica,390,"zahtevna označena pot, lahka neoznačena steza",Zahodni vrh) (čez Dolič,650,1919
11544,Planina Blato,345,lahko brezpotje,Zahodni vrh) (čez Planino v Lazu in po Dolini za Debelim vrhom,1147,1422
11544,Planina Blato,360,lahko brezpotje,Zahodni vrh) (čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1422
114,Zadnjica,375,lahka označena pot,čez Prehodavce,690,1879
114,Planina Blato,345,lahka označena pot,Za Kopico,1147,1422
114,Koča pri Savici,360,zahtevna označena pot,čez Triglavska jezera,653,1916
114,Zadnjica,375,zahtevna označena pot,čez Dolič,650,1919
114,Planina Blato,345,lahko brezpotje,po Dolini za Debelim vrhom,1147,1422
114,Planina Blato,375,lahko brezpotje,po Dolini za Mišelj vrhom,1147,1422
114,Planina Blato,360,lahko brezpotje,čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1422
114,Aljažev dom v Vratih,430,zahtevna označena pot,,1015,1554
114,Aljažev dom v Vratih,430,lahka označena pot,,1015,1554
117,Zadnjica,390,lahka neoznačena steza,čez Dolič,650,1906
117,Aljažev dom v Vratih,330,"zelo zahtevna označena pot, lahka neoznačena steza",čez Plemenice,1015,1541
117,Zadnjica,375,"zelo zahtevna označena pot, lahka neoznačena steza",čez Plemenice,650,1906
117,Planina Blato,420,lahka neoznačena steza,Za Kopico,1147,1409
119,Aljažev dom v Vratih,315,zelo zahtevno brezpotje,zahodna pot,1015,1532
118,Vršič,230,zelo zahtevna označena pot,Kopiščarjeva pot,1611,936
118,Vršič,210,zahtevna označena pot,Slovenska pot,1611,936
118,Vršič,210,zelo zahtevna označena pot,Grebenska pot,1611,936
118,Koča na Gozdu,300,zelo zahtevna označena pot,Hanzova pot,1226,1321
118,Vršič,360,zelo zahtevna označena pot,Jubilejna pot,1611,936
118,Erjavčeva koča na Vršiču,225,zahtevna označena pot,Slovenska pot,1525,1022
118,Erjavčeva koča na Vršiču,240,zelo zahtevna označena pot,Kopiščarjeva pot,1525,1022
118,Erjavčeva koča na Vršiču,225,zelo zahtevna označena pot,grebenska pot,1525,1022
118,Vršič,285,zelo zahtevna označena pot,čez Kajzljevo škrbino,1611,936
118,Erjavčeva koča na Vršiču,375,zelo zahtevna označena pot,Jubilejna pot,1525,1022
118,Erjavčeva koča na Vršiču,300,zelo zahtevna označena pot,čez Kajzljevo škrbino,1525,1022
122,Poldov rovt (Vrata),330,zelo zahtevna neoznačena steza,mimo bivaka,941,1601
122,Poldov rovt (Vrata),345,zelo zahtevna neoznačena steza,čez Brinje,941,1601
12990,Dolina Krma,305,lahka označena pot,,930,1611
126,Dolina Kot,285,zahtevno brezpotje,,950,1588
126,Aljažev dom v Vratih,305,zahtevno brezpotje,Tominškova pot,1015,1523
126,Aljažev dom v Vratih,315,zahtevno brezpotje,čez Prag,1015,1523
126,Dolina Krma,360,zahtevno brezpotje,,944,1594
127,Dolina Kot,300,zelo zahtevna označena pot,plezalna pot,950,1582
127,Dolina Kot,360,zahtevna označena pot,grebenska pot,950,1582
127,Dolina Krma,320,zahtevno brezpotje,čez Teme,930,1602
127,Aljažev dom v Vratih,360,zelo zahtevna označena pot,Tominškova pot,1015,1517
127,Aljažev dom v Vratih,390,zahtevna označena pot,čez Prag,1015,1517
127,Dolina Krma,405,zahtevna označena pot,grebenska pot,930,1602
127,Dolina Kot,480,zelo zahtevno brezpotje,grebensko prečenje Macesnovec-Rjavina,950,1582
127,Konec ceste na Pokljuki,450,zahtevna označena pot,,1340,1192
127,Rudno polje,470,zahtevna označena pot,,1347,1185
11342,Pecol,225,zelo zahtevna označena pot,Ceria Merlone,1510,1021
11342,Nevejski preval,360,zelo zahtevna označena pot,čez Škrbino prednje Špranje,1170,1361
1105,Zadnjica,385,lahka neoznačena steza,čez Dolič,650,1870
1105,Zadnjica,370,"zelo zahtevna označena pot, lahka neoznačena steza",čez Plemenice,650,1870
1105,Planina Blato,415,lahka neoznačena steza,Za Kopico,1147,1373
123,Dolina Krma,300,lahka označena pot,,944,1571
123,Aljažev dom v Vratih,290,zelo zahtevna označena pot,Tominškova pot,1015,1500
123,Rudno polje,320,zahtevna označena pot,,1347,1168
123,Aljažev dom v Vratih,300,zahtevna označena pot,čez Prag,1015,1500
123,Konec ceste na Pokljuki,300,zahtevna označena pot,,1340,1175
123,Dolina Kot,300,zahtevna označena pot,,950,1565
123,Zadnjica,450,zahtevna označena pot,,650,1865
123,Uskovnica (Lom),335,zahtevna označena pot,čez planino Spodnji Tosc,1076,1439
123,Uskovnica (Razpotje),330,zahtevna označena pot,čez planino Spodnji Tosc,1215,1300
11282,Nevejski preval,270,zahtevna označena pot,čez Škrbino prednje Špranje,1170,1332
11282,Cave del Mole,240,zahtevna označena pot,čez Škrbino prednje Špranje,1035,1467
11282,Cave del Mole,240,zahtevna označena pot,čez Škrbino zadnje Špranje,1035,1467
11382,Gozd Martuljek,390,zelo zahtevno brezpotje,,750,1751
133,Aljažev dom v Vratih,315,delno zahtevna označena pot,čez Sovatno,1015,1486
133,Zadnjica,360,lahka označena pot,,650,1851
133,Aljažev dom v Vratih,300,zahtevna neoznačena steza,čez Stenarska vratca,1015,1486
133,Ruski križ,375,zelo zahtevna označena pot,čez Križ,1000,1501
133,Pišnica,410,zelo zahtevna označena pot,čez Križ,850,1651
12248,Aljažev dom v Vratih,300,alpinistični vzpon,Potočnik - Tominšek,1015,1485
135,D postaja,2700,delno zahtevna označena pot,,2202,297
135,Nevejski Preval,255,zahtevna označena pot,mimo koče Gilberti,1170,1329
135,B postaja,265,zahtevna označena pot,čez Krnico,970,1529
135,Nevejski preval,225,zahtevna označena pot,pot 636,1170,1329
135,Gozdec,345,zahtevna označena pot,mimo doma Petra Skalarja,1075,1424
135,Nevejski preval,210,delno zahtevna označena pot,po smučarski progi,1170,1329
11381,Gozd Martuljek,300,zelo zahtevno brezpotje,,750,1747
11546,Zadnjica,410,"zahtevna označena pot, lahko brezpotje",čez Dolič,690,1806
11546,Planina Blato,380,lahko brezpotje,čez Planino v Lazu in po Dolini za Debelim vrhom,1147,1349
11546,Planina Blato,395,lahko brezpotje,čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1349
11545,Planina Blato,365,lahko brezpotje,Hribarice) (čez Planino v Lazu in po Dolini za Debelim vrhom,1147,1348
11545,Planina Blato,380,lahko brezpotje,Hribarice) (čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1348
140,Vršič,330,zahtevno brezpotje,čez Jalovško škrbino,1611,869
140,Vršič,360,zahtevno brezpotje,mimo zavetišča pod Špičkom,1611,869
140,Zadnja Trenta (Flori),330,zahtevno brezpotje,mimo zavetišča pod Špičkom,900,1580
140,Zadnja Trenta (Flori),330,zahtevno brezpotje,čez Jalovško škrbino,900,1580
143,Pišnica,285,zahtevna označena pot,skozi Kačji graben,870,1602
143,Ruski križ,300,zelo zahtevna označena pot,mimo Koče v Krnici,1000,1472
143,Ruski križ,290,zahtevna označena pot,skozi Kačji graben,1000,1472
143,Pišnica,330,zelo zahtevna označena pot,mimo Koče v Krnici,850,1622
146,Zadnjica,345,zahtevno brezpotje,čez Dolič,650,1814
148,Dolina Kot,270,delno zahtevna označena pot,,950,1511
148,Aljažev dom v Vratih,290,zelo zahtevna označena pot,Tominškova pot,1015,1446
148,Aljažev dom v Vratih,300,zahtevna označena pot,čez Prag,1015,1446
148,Turkov rovt (Vrata),270,lahko brezpotje,snežni pristop,941,1520
148,Konec ceste na Pokljuki,390,zahtevna označena pot,,1340,1121
148,Dolina Krma,345,lahka označena pot,,944,1517
1423,Zadnjica,345,zahtevna označena pot,,650,1803
1423,Vršič,345,zahtevna označena pot,,1611,842
1423,Aljažev dom v Vratih,375,zahtevna označena pot,čez Sovatno,1015,1438
1423,Ruski križ,415,zelo zahtevna označena pot,čez Kriško steno,1000,1453
13597,Gozdec,300,zelo zahtevna označena pot,,1075,1373
11540,Planina Blato,300,lahko brezpotje,Vzhodni vrh) (čez Planino v Lazu in po Dolini za Debelim vrhom,1147,1301
11540,Koča pri Savici,360,"zahtevna označena pot, lahko brezpotje",Vzhodni vrh,653,1795
11540,Planina Blato,315,lahko brezpotje,Vzhodni vrh) (čez Planino Krstenico in po Dolini za Debelim vrhom,1147,1301
11540,Zadnjica,375,lahko brezpotje,Vzhodni vrh) (čez Dolič,690,1758
11373,Nevejski preval,315,zelo zahtevna označena pot,,1170,1271
